Escenario 1
Autor45: <Autor45, ErdosP>
Autor97: <Autor97, ErdosP>
Autor89: <Autor89, ErdosP>
Autor49: <Autor49, ErdosP>
Autor15: <Autor15, ErdosP>
Autor67: <Autor67, ErdosP>
Autor88: <Autor88, ErdosP>
Autor0: <Autor0, ErdosP>
Autor36: <Autor36, ErdosP>
Autor82: <Autor82, ErdosP>
Autor76: <Autor76, ErdosP>
Autor90: <Autor90, ErdosP>
Autor12: <Autor12, ErdosP>
Autor14: <Autor14, ErdosP>
Autor65: <Autor65, ErdosP>
Autor66: <Autor66, ErdosP>
Autor2: <Autor2, ErdosP>
Autor80: <Autor80, ErdosP>
Autor23: <Autor23, ErdosP>
Autor55: <Autor55, ErdosP>
Escenario 2
Autor92: <Autor92, ErdosP>
Autor82: <Autor82, ErdosP>
Autor25: <Autor25, ErdosP>
Autor16: <Autor16, ErdosP>
Autor68: <Autor68, ErdosP>
Autor21: <Autor21, ErdosP>
Autor54: <Autor54, ErdosP>
